"class1","class2"
79,64
75,57
83,54
76,57
80,60
81,67
70,61
82,57
64,67
77,54
75,58
88,53
73,77
95,71
69,35
99,76
81,65
68,51
84,78
82,58
77,59
92,53
94,51
96,71
79,59
71,57
88,40
88,31
80,59
86,41
83,57
69,64
73,70
85,63
90,47
80,56
83,56
78,73
80,87
76,51
95,65
78,57
92,62
71,54
85,41
72,60
74,66
67,67
75,55
82,87
77,64
71,56
79,47
74,79
75,78
76,61
73,61
87,58
83,27
73,45
80,62
93,60
70,61
84,56
81,71
86,65
78,52
74,52
84,53
91,69
89,73
70,45
84,64
71,50
85,68
70,74
73,48
82,61
89,53
76,69
86,64
89,80
86,45
78,33
71,59
88,63
82,61
64,68
82,72
69,51
80,65
76,50
80,49
90,44
72,57
44,71
69,70
77,59
62,71
88,58
